StartDate,EndDate,,,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,,,DistributionChannel,UserLanguage,Q7,Q9,Q10,Q10_DO,Q20,Q20_DO,Q32,Q28,Q14,Q15,Mturkcode,Create New Field or Choose From Dropdown...,FL_3_DO
Start Date,End Date,,,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,,,Distribution Channel,User Language,... if she/he stays with the first choice (door 1)?  In ____ out of 3 cases (Fill in the blank below),... if she/he switches to the last remaining door?  In ____ out of 3 cases (Fill in the blank below),What should the contestant therefore do?,What should the contestant therefore do? - Display Order,"After Monty Hall has opened a ""goat-door,"" what should you do?","After Monty Hall has opened a ""goat-door,"" what should you do? - Display Order","In the earlier scenario, how many doors were there in total (including either opened or unopened doors)?","Important



Please also tell us in writing what went on in your head when you made your decision.",Please also tell us if you were already familiar with this game:,Please also tell us if you already knew what the correct answer should be:,Mturkcode,Create New Field or Choose From Dropdown...,FL_3 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",,,"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",,,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_DO""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_DO""}","{""ImportId"":""QID32""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""Mturkcode""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""FL_3_DO""}"
10/31/2018 13:59,10/31/2018 13:59,,,100,40,TRUE,10/31/2018 13:59,R_32Lchz79GE1lGsg,,,,,,,anonymous,EN,,,,,switch,switch|stay,,Probability theory went on in my head. Bayes's rule.,I was familiar with this game,I already knew what the correct answer should be,,,Controlcondition
10/31/2018 14:00,10/31/2018 14:01,,,100,35,TRUE,10/31/2018 14:01,R_SVu22To5pf6q1EZ,,,,,,,anonymous,EN,1,2,switch,switch|stay,,,,Mental models,I was familiar with this game,I already knew what the correct answer should be,,,Experimentalcondition
10/31/2018 14:40,10/31/2018 14:43,,,100,196,TRUE,10/31/2018 14:43,R_1dcBJawlNeAhZm9,,,,,,,anonymous,EN,,,,,stay,stay|switch,,Go with your gut ,I was not familiar with this game,I did not already know what the correct answer should be,,,Controlcondition
10/31/2018 15:04,10/31/2018 15:11,,,100,411,TRUE,10/31/2018 15:11,R_AbMwGtyFDJkcTgB,,,,,,,anonymous,EN,,,,,stay,switch|stay,,"Whether or not the door I chose is the right one or not, the odds off winning have improved by 50% regardless of whether I chose to stay or switch. So I could just as well have chosen 'switch'.",I was not familiar with this game,I did not already know what the correct answer should be,,,Controlcondition
10/31/2018 15:11,10/31/2018 15:12,,,100,117,TRUE,10/31/2018 15:12,R_2S1cpRcwmP6r7fD,,,,,,,anonymous,EN,,,,,switch,stay|switch,,"I had a 1/3 chance of being right the first time. Then, when he showed me which of the other doors held a goat, I had a 2/3 chance that the other door held a car, so I switched doors.",I was familiar with this game,I already knew what the correct answer should be,,,Controlcondition
10/31/2018 15:30,10/31/2018 15:34,,,100,266,TRUE,10/31/2018 15:34,R_1ffqFux5uELc4AB,,,,,,,anonymous,EN,,,,,stay,stay|switch,,This doughnut is delicious and I'm finding it hard to concentrate.,I was not familiar with this game,I did not already know what the correct answer should be,,,Controlcondition
10/31/2018 15:31,10/31/2018 15:35,,,100,228,TRUE,10/31/2018 15:35,R_WBzbPmiKBEyi3Hr,,,,,,,anonymous,EN,1,2,switch,stay|switch,,,,"I carefully read through the question to make sure it was the game I was familiar with, looking for differences.  Then I thought carefully about each of the three cases to ensure that my memory served me right.",I was familiar with this game,I already knew what the correct answer should be,,,Experimentalcondition
10/31/2018 15:13,10/31/2018 15:35,,,100,1342,TRUE,10/31/2018 15:35,R_2TzvehNiM3QlH1x,,,,,,,anonymous,EN,,,,,switch,switch|stay,,,I was familiar with this game,I already knew what the correct answer should be,,,Controlcondition
10/31/2018 15:28,10/31/2018 15:36,,,100,470,TRUE,10/31/2018 15:36,R_2fm8RVwa1ckWVPn,,,,,,,anonymous,EN,,,,,stay,stay|switch,,"You already know at least one of the two goats was behind an unchosen door, so you only learned which unchosen door would be eliminated for the second round. You're free to switch to door 2, but it's not the case that you should. The only thing you should do is not switch to door 3.",I was not familiar with this game,I did not already know what the correct answer should be,,,Controlcondition
10/31/2018 15:34,10/31/2018 15:37,,,100,178,TRUE,10/31/2018 15:37,R_3PRYkotwR6CFYAR,,,,,,,anonymous,EN,,,,,switch,stay|switch,,"Before he reveals the goat, there's a 1/3 chance I picked the right door. After, if you switch you get a 1/2 chance",I was not familiar with this game,I did not already know what the correct answer should be,,,Controlcondition
10/31/2018 15:51,10/31/2018 15:53,,,100,159,TRUE,10/31/2018 15:53,R_xc0szDybVABRKw1,,,,,,,anonymous,EN,1,1,stay,switch|stay,,,,"Working out a chance of between 1 car behind 3 doors, seemed to be 1 out of 3 regardless ",I was not familiar with this game,I did not already know what the correct answer should be,,,Experimentalcondition
10/31/2018 15:57,10/31/2018 15:58,,,100,57,TRUE,10/31/2018 15:58,R_2s7QPiU7gzznfIO,,,,,,,anonymous,EN,1,2,switch,stay|switch,,,,Seen this shit,I was familiar with this game,I already knew what the correct answer should be,,,Experimentalcondition
10/31/2018 16:10,10/31/2018 16:11,,,100,82,TRUE,10/31/2018 16:11,R_2R8QB7oEfa7Kfhn,,,,,,,anonymous,EN,,,,,,stay|switch,,Follow my first instinct ,I was not familiar with this game,I did not already know what the correct answer should be,,,Controlcondition
10/31/2018 17:50,10/31/2018 17:51,,,100,98,TRUE,10/31/2018 17:51,R_b1HAzkZW4gEzRSh,,,,,,,anonymous,EN,,,,,stay,stay|switch,,I would have chosen the first door based on instinct and would continue to trust my instinct. ,I was not familiar with this game,I did not already know what the correct answer should be,,,Controlcondition
10/31/2018 18:59,10/31/2018 19:01,,,100,121,TRUE,10/31/2018 19:01,R_3sbR7ccNreoNBcl,,,,,,,anonymous,EN,,,,,switch,switch|stay,,Half choice is better than a third ,I was familiar with this game,I already knew what the correct answer should be,,,Controlcondition
10/31/2018 19:00,10/31/2018 19:01,,,100,112,TRUE,10/31/2018 19:02,R_3CKr1JIeFGYucQe,,,,,,,anonymous,EN,1,1,stay,switch|stay,,,,Basic probability ,I was not familiar with this game,I did not already know what the correct answer should be,,,Experimentalcondition
10/31/2018 22:21,10/31/2018 22:28,,,100,399,TRUE,10/31/2018 22:28,R_3KqJKlcOIihgmr1,,,,,,,anonymous,EN,1,2,switch,stay|switch,,,,1/3 of chances on first pick but 2/3 chances on the last unopened door since the open one has 0/3,I was familiar with this game,I already knew what the correct answer should be,,,Experimentalcondition
11/1/2018 6:12,11/1/2018 6:15,,,100,182,TRUE,11/1/2018 6:15,R_qQ2GVDkU6SxWbG9,,,,,,,anonymous,EN,1,1.5,switch,stay|switch,,,,Conditional probability,I was familiar with this game,I already knew what the correct answer should be,,,Experimentalcondition
11/1/2018 9:09,11/1/2018 9:13,,,100,230,TRUE,11/1/2018 9:13,R_TiJ9aCDllPDNYFX,,,,,,,anonymous,EN,2,2,stay,switch|stay,,,,I tried to think th possibilities available after a door that was not nb 1 was open,I was not familiar with this game,I did not already know what the correct answer should be,,,Experimentalcondition
11/1/2018 15:20,11/1/2018 15:26,,,100,322,TRUE,11/1/2018 15:26,R_qXyFjR2vQXMUShb,,,,,,,anonymous,EN,1.5,1.5,stay,stay|switch,,,,"Monty's opening the goat door renders the likelihood that each of the remaining doors hides the car to 50/50, so it makes no difference whether to stay or shift. If it makes no difference, then stay. ",I was not familiar with this game,I did not already know what the correct answer should be,,,Experimentalcondition
11/1/2018 19:21,11/1/2018 19:25,,,100,226,TRUE,11/1/2018 19:25,R_T25ZyrEA8IlsFnX,,,,,,,anonymous,EN,1,1,switch,stay|switch,,,,"the first time he has a 1/3 chances in choosing the car. after 1 of the goats is shown, if he changed his choice, he has a *2/3 chance of choosing the car ",I was familiar with this game,I already knew what the correct answer should be,,,Experimentalcondition
11/3/2018 1:51,11/3/2018 1:52,,,100,41,TRUE,11/3/2018 1:52,R_TdZidBbCN0CcEDf,,,,,,,anonymous,EN,,,switch,stay|switch,,,,,I was familiar with this game,I already knew what the correct answer should be,,,Experimentalcondition
11/5/2018 10:03,11/5/2018 13:03,,,100,10755,TRUE,11/5/2018 13:03,R_siKFzDlBFIatFIt,,,,,,,anonymous,EN,"If the opened goat door can still contain a car behind it, as mentioned above, 1 out of 3.",Also 1 out of 3??,stay,switch|stay,,,,"While on the game show, the opened goat door would suggest that the car could only be behind the other two doors, your instruction that the car could be behind any of the three doors made it an equal possibility for each door regardless of the goat shown. In either case, I donâ€™t see why the opened goat door would move the contestant to alter their decision. If the goat door is eliminated, the other two doors still have equal likelihood for containing the car. ",I was familiar with this game,I did not already know what the correct answer should be,,,Experimentalcondition
10/31/2018 14:35,10/31/2018 14:54,,,55,1148,FALSE,11/7/2018 13:55,R_3KxXdmSQLgUMVEg,,,,,,,anonymous,EN,,,,,stay,switch|stay,,,,,,,Controlcondition
10/31/2018 15:20,10/31/2018 15:21,,,55,53,FALSE,11/7/2018 14:21,R_3GlIEjIRQ4DAGkg,,,,,,,anonymous,EN,,,,,stay,stay|switch,,,,,,,Controlcondition
10/31/2018 16:45,10/31/2018 16:46,,,55,85,FALSE,11/7/2018 15:47,R_24NTZgQo0L3HMCd,,,,,,,anonymous,EN,,,,,stay,switch|stay,,,,,,,Controlcondition
10/31/2018 19:54,10/31/2018 19:54,,,55,15,FALSE,11/7/2018 18:54,R_1qe0JBKMVeRCmMU,,,,,,,anonymous,EN,,,,,,stay|switch,,,,,,,Controlcondition
11/2/2018 21:48,11/2/2018 21:48,,,44,15,FALSE,11/9/2018 20:48,R_3Gdlj3ZmgvK1CWi,,,,,,,anonymous,EN,,,,switch|stay,,,,,,,,,Experimentalcondition
11/18/2018 12:45,11/18/2018 12:46,,,100,27,TRUE,11/18/2018 12:46,R_2yabqNa6NeMRTXw,,,,,,,anonymous,EN,,,,,,stay|switch,,,,,,,Controlcondition
11/18/2018 21:53,11/18/2018 21:53,,,100,25,TRUE,11/18/2018 21:53,R_2pJHLWGiFt3WVxY,,,,,,,preview,EN,,,,,switch,switch|stay,,h,I was familiar with this game,I already knew what the correct answer should be,,,Controlcondition
11/18/2018 21:54,11/18/2018 21:54,,,100,21,TRUE,11/18/2018 21:54,R_2thv63LSYKATFnM,,,,,,,preview,EN,,,,,stay,stay|switch,,g,I was familiar with this game,I already knew what the correct answer should be,,,Controlcondition
11/18/2018 21:56,11/18/2018 21:57,,,100,14,TRUE,11/18/2018 21:57,R_3n95SrZfrXD6aBi,,,,,,,anonymous,EN,,,,,switch,switch|stay,,k,I was familiar with this game,I already knew what the correct answer should be,,,Controlcondition
11/18/2018 22:09,11/18/2018 22:09,,,100,13,TRUE,11/18/2018 22:09,R_1eyhvK2fB0CMPPe,,,,,,,preview,EN,,,,,stay,stay|switch,,j,I was familiar with this game,I already knew what the correct answer should be,,,Controlcondition
11/18/2018 22:11,11/18/2018 22:11,,,100,11,TRUE,11/18/2018 22:11,R_30dEHKmR3zPbORz,,,,,,,preview,EN,,,,,stay,stay|switch,,h,I was familiar with this game,I already knew what the correct answer should be,99999999,,Controlcondition
11/18/2018 22:12,11/18/2018 22:12,,,100,13,TRUE,11/18/2018 22:12,R_2dz6I4591U0KwPK,,,,,,,anonymous,EN,,,,,switch,switch|stay,,k,I was familiar with this game,I already knew what the correct answer should be,,,Controlcondition
11/18/2018 22:12,11/18/2018 22:12,,,100,11,TRUE,11/18/2018 22:12,R_3saj6ncJQAlhqVw,,,,,,,anonymous,EN,,,,,stay,stay|switch,,j,I was not familiar with this game,I already knew what the correct answer should be,99999999,,Controlcondition
11/18/2018 22:13,11/18/2018 22:13,,,100,11,TRUE,11/18/2018 22:13,R_2anQ5TTQtwtSxLP,,,,,,,preview,EN,,,,,switch,switch|stay,,h,I was not familiar with this game,I already knew what the correct answer should be,597066664,,Controlcondition
11/18/2018 22:15,11/18/2018 22:16,,,100,10,TRUE,11/18/2018 22:16,R_3P5mpwDqebax88s,,,,,,,preview,EN,,,,,stay,stay|switch,,h,I was familiar with this game,I already knew what the correct answer should be,157140141,,Controlcondition
11/18/2018 22:20,11/18/2018 22:20,,,100,13,TRUE,11/18/2018 22:20,R_2aDzR78TB04F9E6,,,,,,,anonymous,EN,,,,,stay,switch|stay,,h,I was not familiar with this game,I already knew what the correct answer should be,469982050,,Controlcondition
11/18/2018 22:20,11/18/2018 22:21,,,100,10,TRUE,11/18/2018 22:21,R_2b14hYReoB7jvTg,,,,,,,anonymous,EN,,,,,switch,stay|switch,,h,I was familiar with this game,I did not already know what the correct answer should be,975295397,,Controlcondition
11/18/2018 22:23,11/18/2018 22:23,,,100,15,TRUE,11/18/2018 22:23,R_1HpgXsVfV3nZZ1k,,,,,,,preview,EN,,,,,stay,stay|switch,,h,I was familiar with this game,I already knew what the correct answer should be,605447290,,Controlcondition
11/19/2018 15:54,11/19/2018 15:55,,,100,49,TRUE,11/19/2018 15:55,R_1KwNQ5PnZrBj92A,,,,,,,anonymous,EN,,,,,switch,switch|stay,,not much,I was familiar with this game,I already knew what the correct answer should be,341926553,,Controlcondition
11/20/2018 18:55,11/20/2018 18:56,,,100,37,TRUE,11/20/2018 18:56,R_3KutWP8dmGW16J2,,,,,,,anonymous,EN,,,,,switch,switch|stay,,k,I was familiar with this game,I already knew what the correct answer should be,328799531,,Controlcondition
11/12/2018 14:13,11/19/2018 15:56,,,44,610954,FALSE,11/26/2018 15:56,R_21omD8hkMHpt5sQ,,,,,,,anonymous,EN,,,,stay|switch,,,,,,,,,Experimentalcondition
11/29/2018 17:08,11/29/2018 17:08,,,100,18,TRUE,11/29/2018 17:08,R_12i52F49rVU4UtY,,,,,,,anonymous,EN,x,x,stay,stay|switch,,,,g,I was familiar with this game,I already knew what the correct answer should be,158867147,,Experimentalcondition
11/30/2018 13:48,11/30/2018 18:38,,,100,17378,TRUE,11/30/2018 18:38,R_3CEeTSvs4jCLu8t,,,,,,,anonymous,EN,,,,,switch,stay|switch,,k,I was familiar with this game,I already knew what the correct answer should be,463997493,,Controlcondition
11/30/2018 18:38,11/30/2018 18:39,,,100,58,TRUE,11/30/2018 18:39,R_1mO9QZJEJfz98N1,,,,,,,anonymous,EN,j,j,switch,switch|stay,,,2 doors in total,j,I was familiar with this game,I already knew what the correct answer should be,345806162,,Experimentalcondition
11/30/2018 18:41,11/30/2018 18:41,,,100,9,TRUE,11/30/2018 18:41,R_1CkjLBpIVH8gw1l,,,,,,,anonymous,EN,j,j,stay,stay|switch,,,3 doors in total,j,I was not familiar with this game,I did not already know what the correct answer should be,189774440,,Experimentalcondition
12/1/2018 14:57,12/1/2018 14:58,,,100,76,TRUE,12/1/2018 14:58,R_2CpORJVG0UBuZHC,,,,,,,anonymous,EN,asdf,asdf,stay,stay|switch,,,2 doors in total,asdfasdf,I was not familiar with this game,I already knew what the correct answer should be,427197514,,Experimentalcondition
